Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1713101502,2024-04-14T13:31:42Z,TRA13B,"52.30386,4.765751",0,0,120
1713101632,2024-04-14T13:33:52Z,TRA13B,"52.303768,4.766006",0,0,120
1713101645,2024-04-14T13:34:05Z,TRA13B,"52.30365,4.766889",0,11,81
1713101649,2024-04-14T13:34:09Z,TRA13B,"52.303745,4.767223",0,12,64
1713101653,2024-04-14T13:34:13Z,TRA13B,"52.303871,4.76759",0,14,59
1713101691,2024-04-14T13:34:51Z,TRA13B,"52.304291,4.771009",0,0,92
1713101719,2024-04-14T13:35:19Z,TRA13B,"52.305267,4.773795",0,0,56
1713101728,2024-04-14T13:35:28Z,TRA13B,"52.305645,4.774761",0,17,56
1713101734,2024-04-14T13:35:34Z,TRA13B,"52.305931,4.775352",0,17,45
1713101738,2024-04-14T13:35:38Z,TRA13B,"52.306232,4.775678",0,17,28
1713101741,2024-04-14T13:35:41Z,TRA13B,"52.306458,4.775791",0,16,16
1713101744,2024-04-14T13:35:44Z,TRA13B,"52.306675,4.775867",0,16,11
1713101747,2024-04-14T13:35:47Z,TRA13B,"52.306908,4.775914",0,16,5
1713101750,2024-04-14T13:35:50Z,TRA13B,"52.30714,4.775933",0,16,2
1713101753,2024-04-14T13:35:53Z,TRA13B,"52.30735,4.775963",0,16,2
1713101757,2024-04-14T13:35:57Z,TRA13B,"52.307613,4.775982",0,16,2
1713101760,2024-04-14T13:36:00Z,TRA13B,"52.307877,4.776001",0,16,2
1713101767,2024-04-14T13:36:07Z,TRA13B,"52.308411,4.776051",0,15,2
1713101775,2024-04-14T13:36:15Z,TRA13B,"52.309006,4.77611",0,16,2
1713101782,2024-04-14T13:36:22Z,TRA13B,"52.30949,4.776154",0,16,2
1713101790,2024-04-14T13:36:30Z,TRA13B,"52.310146,4.776208",0,19,2
1713101797,2024-04-14T13:36:37Z,TRA13B,"52.310856,4.776287",0,20,2
1713101808,2024-04-14T13:36:48Z,TRA13B,"52.311939,4.776382",0,20,2
1713101816,2024-04-14T13:36:56Z,TRA13B,"52.312717,4.776459",0,22,2
1713101824,2024-04-14T13:37:04Z,TRA13B,"52.313473,4.776535",0,21,2
1713101832,2024-04-14T13:37:12Z,TRA13B,"52.314285,4.776421",0,19,343
1713101834,2024-04-14T13:37:14Z,TRA13B,"52.314491,4.776287",0,19,334
1713101840,2024-04-14T13:37:20Z,TRA13B,"52.314835,4.775953",0,15,326
1713101845,2024-04-14T13:37:25Z,TRA13B,"52.315113,4.775659",0,13,331
1713101853,2024-04-14T13:37:33Z,TRA13B,"52.315578,4.77562",0,12,14
1713101863,2024-04-14T13:37:43Z,TRA13B,"52.315872,4.776169",0,0,67
1713101869,2024-04-14T13:37:49Z,TRA13B,"52.315895,4.776561",0,7,84
1713101874,2024-04-14T13:37:54Z,TRA13B,"52.315899,4.776764",0,6,84
1713101883,2024-04-14T13:38:03Z,TRA13B,"52.31591,4.777012",0,3,84
1713101926,2024-04-14T13:38:46Z,TRA13B,"52.315922,4.777222",0,0,84
1713102084,2024-04-14T13:41:24Z,TRA13B,"52.315979,4.778767",0,11,87
1713102092,2024-04-14T13:41:32Z,TRA13B,"52.315998,4.779366",0,11,87
1713102126,2024-04-14T13:42:06Z,TRA13B,"52.314251,4.779523",0,0,182
1713102163,2024-04-14T13:42:43Z,TRA13B,"52.292725,4.777603",0,171,182
1713102169,2024-04-14T13:42:49Z,TRA13B,"52.287827,4.777145",275,172,183
1713102178,2024-04-14T13:42:58Z,TRA13B,"52.280071,4.776934",675,177,178
1713102181,2024-04-14T13:43:01Z,TRA13B,"52.27771,4.777374",825,178,175
1713102183,2024-04-14T13:43:03Z,TRA13B,"52.27597,4.777908",900,178,172
1713102186,2024-04-14T13:43:06Z,TRA13B,"52.273693,4.778817",1025,177,167
1713102190,2024-04-14T13:43:10Z,TRA13B,"52.271072,4.780045",1100,182,165
1713102193,2024-04-14T13:43:13Z,TRA13B,"52.268528,4.781171",1150,186,164
1713102196,2024-04-14T13:43:16Z,TRA13B,"52.265499,4.782662",1225,190,163
1713102199,2024-04-14T13:43:19Z,TRA13B,"52.262985,4.783918",1250,194,162
1713102202,2024-04-14T13:43:22Z,TRA13B,"52.260521,4.785174",1300,198,162
1713102205,2024-04-14T13:43:25Z,TRA13B,"52.257614,4.786606",1375,204,162
1713102208,2024-04-14T13:43:28Z,TRA13B,"52.254868,4.788055",1450,206,162
1713102210,2024-04-14T13:43:30Z,TRA13B,"52.252579,4.7892",1500,208,162
1713102214,2024-04-14T13:43:34Z,TRA13B,"52.249393,4.790824",1550,213,162
1713102214,2024-04-14T13:43:34Z,TRA13B,"52.248928,4.791059",1575,214,162
1713102225,2024-04-14T13:43:45Z,TRA13B,"52.239853,4.795532",1750,228,163
1713102234,2024-04-14T13:43:54Z,TRA13B,"52.228817,4.800712",2025,240,164
1713102240,2024-04-14T13:44:00Z,TRA13B,"52.222137,4.803314",2275,241,167
1713102243,2024-04-14T13:44:03Z,TRA13B,"52.218807,4.804243",2425,241,170
1713102246,2024-04-14T13:44:06Z,TRA13B,"52.215408,4.80484",2575,240,172
1713102250,2024-04-14T13:44:10Z,TRA13B,"52.212067,4.805374",2725,241,174
1713102251,2024-04-14T13:44:11Z,TRA13B,"52.209869,4.805603",2800,242,175
1713102255,2024-04-14T13:44:15Z,TRA13B,"52.205704,4.805832",2975,242,177
1713102258,2024-04-14T13:44:18Z,TRA13B,"52.201996,4.805679",3100,243,180
1713102261,2024-04-14T13:44:21Z,TRA13B,"52.198654,4.805374",3225,242,183
1713102264,2024-04-14T13:44:24Z,TRA13B,"52.195313,4.804916",3375,242,184
1713102267,2024-04-14T13:44:27Z,TRA13B,"52.192062,4.804459",3525,242,184
1713102270,2024-04-14T13:44:30Z,TRA13B,"52.188583,4.803925",3675,242,184
1713102273,2024-04-14T13:44:33Z,TRA13B,"52.1852,4.803458",3825,244,185
1713102276,2024-04-14T13:44:36Z,TRA13B,"52.181938,4.802909",3975,243,185
1713102279,2024-04-14T13:44:39Z,TRA13B,"52.178448,4.80236",4125,244,185
1713102282,2024-04-14T13:44:42Z,TRA13B,"52.175171,4.801865",4275,244,185
1713102284,2024-04-14T13:44:44Z,TRA13B,"52.174026,4.801636",4325,244,185
1713102294,2024-04-14T13:44:54Z,TRA13B,"52.161316,4.799848",4875,246,184
1713102300,2024-04-14T13:45:00Z,TRA13B,"52.154568,4.798907",5150,247,184
1713102315,2024-04-14T13:45:15Z,TRA13B,"52.13739,4.796866",5875,248,184
1713102331,2024-04-14T13:45:31Z,TRA13B,"52.119747,4.794434",6575,251,185
1713102346,2024-04-14T13:45:46Z,TRA13B,"52.102753,4.792099",7300,252,185
1713102361,2024-04-14T13:46:01Z,TRA13B,"52.086777,4.790115",7925,257,184
1713102374,2024-04-14T13:46:14Z,TRA13B,"52.069145,4.787606",8525,258,185
1713102389,2024-04-14T13:46:29Z,TRA13B,"52.050751,4.784851",9275,258,185
1713102404,2024-04-14T13:46:44Z,TRA13B,"52.032898,4.78241",9975,258,184
1713102416,2024-04-14T13:46:56Z,TRA13B,"52.018799,4.780502",10500,260,184
1713102431,2024-04-14T13:47:11Z,TRA13B,"52.000431,4.778033",11200,261,185
1713102447,2024-04-14T13:47:27Z,TRA13B,"51.98172,4.775286",11825,266,184
1713102462,2024-04-14T13:47:42Z,TRA13B,"51.963272,4.77272",12475,267,184
1713102495,2024-04-14T13:48:15Z,TRA13B,"51.922226,4.763907",13800,268,195
1713102498,2024-04-14T13:48:18Z,TRA13B,"51.918686,4.762024",13950,268,197
1713102501,2024-04-14T13:48:21Z,TRA13B,"51.914886,4.759674",14100,265,199
1713102504,2024-04-14T13:48:24Z,TRA13B,"51.911472,4.757394",14250,263,201
1713102507,2024-04-14T13:48:27Z,TRA13B,"51.908493,4.755197",14375,261,203
1713102510,2024-04-14T13:48:30Z,TRA13B,"51.90509,4.752502",14550,260,206
1713102512,2024-04-14T13:48:32Z,TRA13B,"51.902435,4.750366",14675,258,206
1713102515,2024-04-14T13:48:35Z,TRA13B,"51.899826,4.748306",14800,258,206
